ImageID,SentenceNo,Entity1,Relation,Entity2,Entity1ID,Entity2ID,Answer,NumberOfWorkers,WorkerAnswer,WorkerAccuracy
1016887272,2,A group of people,are rock climbing on,a rock climbing wall,/EN#547/people,/EN#548/other,1,5,1-0-0-1-1,0.8-1.0-1.0-0.8-0.6
1016887272,0,Several climbers,while,the man,/EN#547/people,/EN#549/people,0,5,0-1-0-0-0,0.8-1.0-1.0-0.8-0.6
1016887272,1,Seven climbers,whilst,another man,/EN#547/people,/EN#549/people,1,5,0-1-0-1-1,0.8-1.0-1.0-0.8-0.6
1016887272,3,A group of people,while,one man,/EN#547/people,/EN#549/people,0,5,0-1-0-0-1,0.8-1.0-1.0-0.8-0.6
1016887272,0,Several climbers,watches and holds,the line,/EN#547/people,/EN#551/other,0,5,0-1-0-0-1,0.8-1.0-1.0-0.8-0.6
1016887272,1,Seven climbers,stands holding,the rope,/EN#547/people,/EN#551/other,0,5,0-1-0-0-0,0.8-1.0-1.0-0.8-0.6
1016887272,0,the rock,while,the man,/EN#548/other,/EN#549/people,0,5,0-1-0-0-0,0.8-1.0-1.0-0.8-0.6
1016887272,3,a rock,while,one man,/EN#548/other,/EN#549/people,0,5,0-1-0-0-0,0.8-1.0-1.0-0.8-0.6
7162685234,1,Two children,on,a beach,/EN#266245/people,/EN#266246/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,3,Two young &#44; wet boys,on,a beach,/EN#266245/people,/EN#266246/scene,1,5,1-1-0-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,4,Two little boys,on,the beach,/EN#266245/people,/EN#266246/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,0,Two children,in,the sand,/EN#266245/people,/EN#266247/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,3,Two young &#44; wet boys,playing in,the sand,/EN#266245/people,/EN#266247/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,0,Two children,with,the ocean,/EN#266245/people,/EN#266248/scene,1,5,1-1-0-0-1,1.0-1.0-1.0-1.0-1.0
7162685234,1,Two children,near,the ocean,/EN#266245/people,/EN#266248/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,2,two brothers,after swimming in,the ocean,/EN#266245/people,/EN#266248/scene,0,5,1-0-0-0-1,1.0-1.0-1.0-1.0-1.0
7162685234,0,the beach,with,the ocean,/EN#266246/scene,/EN#266248/scene,1,5,1-0-0-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,0,the sand,with,the ocean,/EN#266247/other,/EN#266248/scene,1,5,1-0-0-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,1,sand,near,the ocean,/EN#266247/other,/EN#266248/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,2,the sand,after swimming in,the ocean,/EN#266247/other,/EN#266248/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
7162685234,1,sand,on,a beach,/EN#266247/other,/EN#266246/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,3,the sand,on,a beach,/EN#266247/other,/EN#266246/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
7162685234,4,sand,on,the beach,/EN#266247/other,/EN#266246/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,0,a band,on,a stage,/EN#86435/people,/EN#86436/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,1,A band,plays on,stage,/EN#86435/people,/EN#86436/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,4,This band,is playing on,a stage,/EN#86435/people,/EN#86436/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,0,a band,with,a brightly colored backdrop,/EN#86435/people,/EN#86437/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,1,A band,in front of,a colorful backdrop,/EN#86435/people,/EN#86437/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,3,A band,playing on,a colorful stage,/EN#86435/people,/EN#86437/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
3000017878,1,stage,in front of,a colorful backdrop,/EN#86436/scene,/EN#86437/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
4971484184,0,A topless mannequin,is being displayed in,a window,/EN#224776/other,/EN#224778/other,1,5,1-1-1-0-0,0.8-0.8-0.8-0.8-0.8
4971484184,3,A semi-nude mannequin,is posed in,the window,/EN#224776/other,/EN#224778/other,1,5,1-1-1-0-0,0.8-0.8-0.8-0.8-0.8
4971484184,2,A topless mannequin,is photographed next to,a blue car,/EN#224776/other,/EN#224781/vehicles,1,5,1-1-1-1-1,0.8-0.8-0.8-0.8-0.8
92679312,0,A young white boy,smiling into,a microphone,/EN#283585/people,/EN#283586/other,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
92679312,2,young boy,singing together using,microphones,/EN#283585/people,/EN#283586/other,0,5,0-0-0-0-1,1.0-1.0-1.0-1.0-1.0
92679312,4,a boy,holding,microphones,/EN#283585/people,/EN#283587/other,0,5,1-0-0-0-1,1.0-1.0-1.0-1.0-1.0
2853682342,0,A man,is running and jumping in,the grass,/EN#76914/people,/EN#76916/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
2853682342,1,A man,in,a park,/EN#76914/people,/EN#76916/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
2853682342,3,A man,in,a forested park,/EN#76914/people,/EN#76916/scene,1,5,1-1-1-1-1,1.0-1.0-1.0-1.0-1.0
2853682342,0,a white shirt,is running and jumping in,the grass,/EN#76915/clothing,/EN#76916/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
2853682342,1,a blue shirt,in,a park,/EN#76915/clothing,/EN#76916/scene,0,5,0-0-0-0-0,1.0-1.0-1.0-1.0-1.0
2853682342,1,A man,&#44; jumping down,a hill,/EN#76914/people,/EN#76917/scene,1,5,0-1-0-1-1,1.0-1.0-1.0-1.0-1.0
